name,salary,currency,experience,location,link,skills
Python разработчик с ML,240000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/126318842,
Системный аналитик / Бизнес-аналитик в ИТ,80000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/123152189,"ClickUp, Atlassian Jira, Atlassian Confluence, Asana, Figma, Английский — B2 — Средне-продвинутый"
Главный аналитик бизнес-процессов по защите прав застрахованных,139200,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/121478088,"LLM, ИИ, ОМС, SQL-запросы, Python, Защита прав застрахованных"
Аналитик баз данных (отдел закупок),109000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127367562,"Работа с большим объемом информации, Работа с базами данных, Анализ данных, Аналитическое мышление, Формирование аналитической отчетности"
Senior Data Scientist – Renewable Energy Trading,5000,USD,6,Москва / Россия,https://hh.ru/vacancy/128061542,"Python, regression, ensemble learning, time series forecasting, Scikit-learn, XGBoost,, TensorFlow, PyTorch, CGP, Kubernetes, Terraform, CI/CD, Английский — B2 — Средне-продвинутый"
Бизнес/ системный аналитик WEB,4000,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/125135109,
Руководитель отдела продаж,800000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128130115,"Управление командой, Руководство коллективом, Управленческие навыки, Деловая коммуникация, Обучение персонала, Английский — B2 — Средне-продвинутый"
Разработчик,150000,KZT,0,Алматы / Казахстан,https://hh.ru/vacancy/128225027,"JavaScript, HTML, Git, Python, PostgreSQL, MySQL, Ruby, 3D Моделирование, Разработка ПО, Аналитика, Agile, Unity, ASP.NET, Node.js, SQL, PHP, jQuery, Docker Compose, Solid Works, С#, OpenCart, SolidWorks"
Специалист цифровизации и валидации,100000,RUB,0,Москва / Россия,https://hh.ru/vacancy/127828383,"MS Office, GAMP 5, GMP (Good Manufacturing Practice), GMP, 21 CFR Part 11, Инициативность, Самостоятельность, Английский язык, Внимательность, Решение №77 ЕАЭС, Английский — B2 — Средне-продвинутый"
Финансовый аналитик / Специалист отдела аналитики и бизнес планирования,140000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127769182,
Личный помощник / Ассистент руководителя,120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127741594,"MS Word, MS Excel, Битрикс24, Ответственность, Пунктуальность, Коммуникабельность, Английский язык, многозадачность, сдержанность, Английский — B2 — Средне-продвинутый, Немецкий — B2 — Средне-продвинутый"
Кредитный аналитик (крупный бизнес),170000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/125914492,
Руководитель отдела аналитики (системный/бизнес),350000,RUB,6,Москва / Россия,https://hh.ru/vacancy/127544357,"SQL, XML, BPMN, UML, Аналитическое мышление, Бизнес-анализ, Системный анализ, SOAP, Apache Kafka"
Project Manager / Руководитель проектов,150000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128227150,
Менеджер продукта,1500000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127366821,
Аналитик в сфере комплаенса,76000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127995314,"Работа с базами данных, Работа с большим объемом информации, Анализ данных, Визуализация данных, Извлечение данных, Формирование аналитической отчетности, Английский — A1 — Начальный"
Client Operations & Solutions Specialist,500,USD,0,Алматы / Казахстан,https://hh.ru/vacancy/127544473,"Английский язык, Деловая коммуникация, Аналитическое мышление, Работа с большим объемом информации, Английский — C1 — Продвинутый"
Client Operations Manager & Support Specialist,1700,BYN,0,Минск / Беларусь,https://hh.ru/vacancy/127334795,"Business English, Английский язык, Деловая переписка, MS Office, Телефонные переговоры, Английский - C1 - Продвинутый"
Аналитик 1С,250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127990015,"1С: Предприятие 8, ERP-системы на базе 1С, 1C: ERP, Основы бухгалтерского учета, Разработка технических заданий, Бизнес-анализ, 1С: Зарплата и управление персоналом, BPMN, 1С: Управление Производственным Предприятием, 1С: Управление Торговлей"
Lead QA,800000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/127773081,
"Аналитик: бизнес, политическая и общественная деятельность",120000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127392700,
